,,,,,Species #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
,,,,,,0.108174724,0.034351399,0.081878783,0.140229113,0.111683641,0.050486693,0.125139523,0.078614681,0.093486553,0.070711058,0.07643506,0.058552539,0.108688719,0.094254062,0.045183987,0.098334082,0.18568248,0.075172787,0.153265771,0.09280064,0.058498366,0.03605091,0.010904063,0.02726476,0.083084091,0.081799458,0.037041801,0.010592588,0.032282274,0.052058399,0.031044773,0.072898686,0.021036634,0.091030182,0.123889437,0.013375931,0.134013661,0.043543421,0.052490958,0.093461275,0.049981009,0.031105073,0.040196482,0.064430738,0.046652171,0.064802432,0.069872529,0.115261447,0.100399755,0.181750807,0.016653794,0.069501663,0.074584195,0.14276056,0.070835066,0.079677297,0.141856201,0.060153861,0.131068302,0.11799439,0.067161382,0.044788926,0.065839364,0.049689576,0.026704071,0.092808932,0.054504599,0.056297393,0.065915812,0.0549853,0.034687726,0.09892858,0.094363661,0.116744958,0.035879617,0.079897237,0.04103431,0.014783709,0.043523159,0.058248712,0.140698137,0.09197371,0.039450311,0.067150502,0.095512678,0.045775652,0.116077958,0.096562621,0.067858881,0.070044232,0.044777711,0.068286093,0.02649921,0.088396936,0.088828521,0.056554393,0.061816042,0.060770602,0.097904507,0.055146677,0.040386864,0.067859831,0.064987545,0.127927798,0.142501933,0.049716619,0.089319957,0.045614951,0.05044323,0.076703914,0.025257328,0.051252656,0.044910445,0.187867371,0.095480216,0.116464114,0.080129193,0.034360061,0.060444961,0.039937255,0.055359779,0.158577831,0.129237136,0.062349588,0.046948197
,,,,,Sites With presence,45,15,35,44,48,21,49,38,39,24,37,18,42,33,14,39,77,24,58,31,27,20,1,8,35,34,9,5,15,26,8,26,8,49,47,3,63,19,16,46,17,16,13,30,12,35,27,42,38,77,6,29,35,69,31,27,40,17,56,48,28,29,26,14,8,32,11,22,26,26,10,43,31,46,16,33,18,9,22,28,66,43,17,32,51,17,47,43,21,29,22,27,10,48,43,25,23,28,32,15,25,20,20,61,51,25,27,14,20,37,10,15,15,78,36,34,28,11,22,14,22,51,54,26,7
,Site Number,Cost,Species count,x,y,0.022222222,0.066666667,0.028571429,0.022727273,0.020833333,0.047619048,0.020408163,0.026315789,0.025641026,0.041666667,0.027027027,0.055555556,0.023809524,0.03030303,0.071428571,0.025641026,0.012987013,0.041666667,0.017241379,0.032258065,0.037037037,0.05,1,0.125,0.028571429,0.029411765,0.111111111,0.2,0.066666667,0.038461538,0.125,0.038461538,0.125,0.020408163,0.021276596,0.333333333,0.015873016,0.052631579,0.0625,0.02173913,0.058823529,0.0625,0.076923077,0.033333333,0.083333333,0.028571429,0.037037037,0.023809524,0.026315789,0.012987013,0.166666667,0.034482759,0.028571429,0.014492754,0.032258065,0.037037037,0.025,0.058823529,0.017857143,0.020833333,0.035714286,0.034482759,0.038461538,0.071428571,0.125,0.03125,0.090909091,0.045454545,0.038461538,0.038461538,0.1,0.023255814,0.032258065,0.02173913,0.0625,0.03030303,0.055555556,0.111111111,0.045454545,0.035714286,0.015151515,0.023255814,0.058823529,0.03125,0.019607843,0.058823529,0.021276596,0.023255814,0.047619048,0.034482759,0.045454545,0.037037037,0.1,0.020833333,0.023255814,0.04,0.043478261,0.035714286,0.03125,0.066666667,0.04,0.05,0.05,0.016393443,0.019607843,0.04,0.037037037,0.071428571,0.05,0.027027027,0.1,0.066666667,0.066666667,0.012820513,0.027777778,0.029411765,0.035714286,0.090909091,0.045454545,0.071428571,0.045454545,0.019607843,0.018518519,0.038461538,0.142857143
Site Numbers,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,2,2,13,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,3,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4,2,11,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,5,2,10,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
,6,4,9,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,7,1,9,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
