alpha,budget,connect,BDI,species,ObjVal
numeric,numeric,numeric,numeric,numeric,numeric
0.01,5,10,1.882629844,40,10.3
0.04,5,10,1.882629844,40,11.2
0.07,5,10,1.882629844,40,12.1
0.1,5,10,1.882629844,40,13
0.13,5,10,1.882629844,40,13.9
0.16,5,10,1.882629844,40,14.8
0.19,5,10,1.882629844,40,15.7
0.22,5,10,1.882629844,40,16.6
0.25,5,6,2.09831682,54,18
0.28,5,6,2.09831682,54,19.44
0.31,5,6,2.09831682,54,20.88
0.34,5,6,2.09831682,54,22.32
0.37,5,2,2.381297872,61,23.83
0.4,5,2,2.448614194,61,25.6
0.43,5,2,2.381297872,61,27.37
0.46,5,2,2.381297872,61,29.14
0.49,5,2,2.381297872,61,30.91
0.52,5,2,2.381297872,61,32.68
0.55,5,2,2.381297872,61,34.45
0.58,5,2,2.381297872,61,36.22
0.61,5,2,2.381297872,61,37.99
0.64,5,2,2.448614194,61,39.76
0.67,5,0,2.515136492,62,41.54
0.7,5,0,2.515136492,62,43.4
0.73,5,0,2.515136492,62,45.26
0.76,5,0,2.515136492,62,47.12
0.79,5,0,2.515136492,62,48.98
0.82,5,0,2.515136492,62,50.84
0.85,5,0,2.515136492,62,52.7
0.88,5,0,2.515136492,62,54.56
0.91,5,0,2.515136492,62,56.42
0.94,5,0,2.563593963,62,58.28
0.97,5,0,2.563593963,62,60.14
0.01,10,20,2.995354034,64,20.44
0.04,10,20,3.391783892,64,21.76
0.07,10,20,3.391783892,64,23.08
0.1,10,20,3.391783892,64,24.4
0.13,10,20,3.391783892,64,25.72
0.16,10,20,3.391783892,64,27.04
0.19,10,20,3.391783892,64,28.36
0.22,10,18,3.309799461,72,29.88
0.25,10,16,3.887181779,78,31.5
0.28,10,16,4.028957295,78,33.36
0.31,10,16,4.028957295,78,35.22
0.34,10,14,3.965951516,82,37.12
0.37,10,10,4.198099868,89,39.23
0.4,10,10,4.198099868,89,41.6
0.43,10,8,4.258970863,92,44.12
0.46,10,8,4.258970863,92,46.64
0.49,10,8,4.258970863,92,49.16
0.52,10,4,4.748963362,96,51.84
0.55,10,4,4.748963362,96,54.6
0.58,10,4,4.825024491,96,57.36
0.61,10,4,4.748963362,96,60.12
0.64,10,4,4.825024491,96,62.88
0.67,10,2,4.769053799,97,65.65
0.7,10,2,4.769053799,97,68.5
0.73,10,2,4.769053799,97,71.35
0.76,10,2,4.769053799,97,74.2
0.79,10,2,4.769053799,97,77.05
0.82,10,2,4.769053799,97,79.9
0.85,10,2,4.769053799,97,82.75
0.88,10,2,4.769053799,97,85.6
0.91,10,2,4.769053799,97,88.45
0.94,10,2,4.769053799,97,91.3
0.97,10,2,4.769053799,97,94.15
0.01,15,30,4.264389778,76,30.46
0.04,15,30,4.264389778,76,31.84
0.07,15,30,4.264389778,76,33.22
0.1,15,30,4.264389778,76,34.6
0.13,15,30,4.264389778,76,35.98
0.16,15,30,4.264389778,76,37.36
0.19,15,30,4.264389778,76,38.74
0.22,15,28,4.959603138,84,40.32
0.25,15,26,5.264600436,90,42
0.28,15,24,5.84858136,96,44.16
0.31,15,24,5.84858136,96,46.32
0.34,15,24,5.84858136,96,48.48
0.37,15,24,5.84858136,96,50.64
0.4,15,24,5.84858136,96,52.8
0.43,15,24,5.84858136,96,54.96
0.46,15,16,6.180325705,106,57.4
0.49,15,16,6.180325705,106,60.1
0.52,15,16,6.180325705,106,62.8
0.55,15,16,6.180325705,106,65.5
0.58,15,12,6.614025656,109,68.26
0.61,15,12,6.614025656,109,71.17
0.64,15,12,6.49023558,109,74.08
0.67,15,10,6.654479358,110,77
0.7,15,10,6.654479358,110,80
0.73,15,10,6.654479358,110,83
0.76,15,4,6.737542437,112,86.08
0.79,15,4,6.94746629,112,89.32
0.82,15,4,6.588170847,112,92.56
0.85,15,4,6.588170847,112,95.8
0.88,15,4,6.844313022,112,99.04
0.91,15,4,6.737542437,112,102.28
0.94,15,4,6.588170847,112,105.52
0.97,15,4,6.588170847,112,108.76
0.01,20,40,5.62383853,84,40.44
0.04,20,40,5.62383853,84,41.76
0.07,20,40,5.62383853,84,43.08
0.1,20,40,5.62383853,84,44.4
0.13,20,40,5.806391733,84,45.72
0.16,20,40,5.806391733,84,47.04
0.19,20,40,5.62383853,84,48.36
0.22,20,38,6.501605093,92,49.88
0.25,20,36,6.7662791,98,51.5
0.28,20,34,6.532633951,104,53.6
0.31,20,34,6.532633951,104,55.7
0.34,20,34,6.532633951,104,57.8
0.37,20,34,6.532633951,104,59.9
0.4,20,32,6.984638323,107,62
0.43,20,32,6.984638323,107,64.25
0.46,20,32,6.984638323,107,66.5
0.49,20,32,6.984638323,107,68.75
0.52,20,28,7.359320248,111,71.16
0.55,20,28,7.359320248,111,73.65
0.58,20,24,7.814155294,114,76.2
0.61,20,24,7.814155294,114,78.9
